created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 21 23:11:43 +0000 2023;1715868497631474019;"Pak SBY seperti yg tidak interest bertemu dengan Gibran";0;0;0;0;in;81058880;1715868497631474019;taksuka;https://twitter.com/taksuka/status/1715868497631474019
Sat Oct 21 23:11:40 +0000 2023;1715868482972295355;"@Resty_J_Cayah Gibran - Kaesang, sekalian dah Biar cepet terjadi People Power.";0;0;0;0;in;1689477192714268672;1715785416409026577;ichan_norax;https://twitter.com/ichan_norax/status/1715868482972295355
Sat Oct 21 23:11:17 +0000 2023;1715868388319514776;"@HusinShihab @212bowie @gibran_tweet @jokowi Sopan santun dalam politik adalah kemunafikan";0;0;0;0;in;1473265800538587139;1715506085740822614;fibriansah_i;https://twitter.com/fibriansah_i/status/1715868388319514776
Sat Oct 21 23:11:09 +0000 2023;1715868354903511305;"@KuasaAngin2 @bobby_risakotta @jokowi @ganjarpranowo @gibran_tweet Wkwkwkwkwkw https://t.co/EEJEQ2z50S";0;1;0;1;in;1396810429624504320;1715668301563785465;Mbokayu__;https://twitter.com/Mbokayu__/status/1715868354903511305
Sat Oct 21 23:11:08 +0000 2023;1715868348754677896;"@yunartowijaya kl seandainya ganjar sm gibran lo pasti mingkem dan puji puji lagi ah drama lu jadul mudah ke tebak";0;0;0;0;in;1603811860553555968;1715749563343253768;abi_priadi;https://twitter.com/abi_priadi/status/1715868348754677896
Sat Oct 21 23:11:05 +0000 2023;1715868336121360475;"@KaredokLeunca__ @Joker_Wedoks @PartaiGolkar @gibran_tweet @prabowo Nah tuh cerdas";0;0;0;0;in;1549298454869864448;1715674350429655171;GURUKU_85;https://twitter.com/GURUKU_85/status/1715868336121360475
Sat Oct 21 23:11:04 +0000 2023;1715868333797728753;"@BosPurwa Kemungkinan besar Gibran tak berani mencalonkan diri sebagai CAWAPRES Prabowo, dan Prabowo (KIM) juga tak berani mencalonkan Gibran sebagai CAWAPRES untuk mendampingi CAPRES Prabowo S. Karena ada ancaman sanksi partai utk anggota yg membangkang sambil memberikan tawaran menteri.";0;0;0;1;in;98419575;1715679716798304419;muh_haddad;https://twitter.com/muh_haddad/status/1715868333797728753
Sat Oct 21 23:10:58 +0000 2023;1715868309625917557;"@Gus_Raharjo Cukup Mulutmu saja yg ingkar janji mas gibran #GibranMenclaMencle";0;0;0;0;in;1706607349820272640;1715622331073405370;Zahidah_Ifah;https://twitter.com/Zahidah_Ifah/status/1715868309625917557
Sat Oct 21 23:10:53 +0000 2023;1715868286205010176;"Warga menilai LW kamu @gibran_tweet melanggengkan politik dinasti.. Laa kok malah kamu suruh tanya lagi.. wong pekok awakmu Trae.";0;0;0;0;in;798984491544915968;1715868286205010176;okeeko9;https://twitter.com/okeeko9/status/1715868286205010176
Sat Oct 21 23:10:51 +0000 2023;1715868279724814519;"@gibran_tweet brawal dari MK,kehancuran itu muncul bro wali";0;1;0;1;in;1544643571323928576;1715214874031353864;ren48536778;https://twitter.com/ren48536778/status/1715868279724814519
Sat Oct 21 23:10:50 +0000 2023;1715868272288293267;"@genx36545403 @jokowi @gibran_tweet @kaesangp Mungkin Presiden Jokowi, masih bisa menerima diperlakukan seperti itu tapi keluarga besar Presiden Jokowi belum tentu menerima, apalagi istri presiden, sebagai seorang istri tentu membella kehormatan suaminya apalagi suaminya seorang presiden";0;0;0;0;in;957997845595893760;1715668498939367790;PallakaGO;https://twitter.com/PallakaGO/status/1715868272288293267
Sat Oct 21 23:10:49 +0000 2023;1715868269331300467;"@Candra4smara Dasar buzzer goblok. Mana ada penculikan diawali dengan sowan nya si korban ke para penculik. Lu kira Gibran segoblok itu?";0;0;0;0;in;1653061686700683265;1715616779224162338;_qaireen084;https://twitter.com/_qaireen084/status/1715868269331300467
Sat Oct 21 23:10:46 +0000 2023;1715868255812989167;"@UyokBack @Miduk17 Kalau si @Miduk17 hanya karena risau junjungannya yang baru takut dikalahkan oleh pasangan Pravowo-Gibran. Junjungan yg diharapkan kembali meneruskan kampanye Islamophobia dengan isu intoleran dan radikal radikul";0;0;0;1;in;1616674116261777408;1715637151512317964;bangbri82;https://twitter.com/bangbri82/status/1715868255812989167
Sat Oct 21 23:10:45 +0000 2023;1715868253510341071;"@genx36545403 @jokowi @gibran_tweet @kaesangp Saya bukan pendukung jokowi apalagi PDIP. Kalo melihat video ini kok gimana ya, dibalik senyumnya tersembunyi dendam membara diperlakukan sprt kacung PDIP. Tidak asap kalo tidak ada api";0;0;0;0;in;1629774417869041664;1715668498939367790;CIOPA11;https://twitter.com/CIOPA11/status/1715868253510341071
Sat Oct 21 23:10:44 +0000 2023;1715868247290237134;"@monsterhiphoop Coba search tuit saya, bro. Dari awal saya tdk setuju Gibran jadi cawapres siapapun (termasuk cawapresnya Ganjar), jika didapat dngn jalan yg tdk etis. Siapapun tdk boleh mendapatkan karpet merah dngn cara seperti itu.";0;1;0;0;in;720655727816105984;1715727447818424812;Fr4nst;https://twitter.com/Fr4nst/status/1715868247290237134
